"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282571144","37.4883536590177","55.6441432988282","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","35938","12","12","567","1531","Юго-Западный административный округ","Академика Бакулева улица","2","","","",""
"Москва","4504222397630173","4504235282571173","37.4848513972195","55.6414263835362","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","10359","16","2","128","346","Юго-Западный административный округ","Академика Бакулева улица","12","","","",""
"Москва","4504222397630173","4504235282571179","37.4867235761031","55.6423615273396","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","10361","16","2","128","346","Юго-Западный административный округ","Академика Бакулева улица","8","","","",""
"Москва","4504222397630173","4504235282571180","37.4886048279711","55.6433028976917","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","10360","16","2","128","346","Юго-Западный административный округ","Академика Бакулева улица","4","","","",""
"Москва","4504222397630173","4504235282571263","37.4748733602011","55.6419556880473","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","18974","22","1","174","470","Юго-Западный административный округ","Ленинский проспект","137 к2","","","",""
"Москва","4504222397630173","4504235282571271","37.4764393034044","55.6437474864757","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","18975","22","1","174","470","Юго-Западный административный округ","Ленинский проспект","131 к1","","","",""
"Москва","4504222397630173","4504235282571280","37.4784153275349","55.643680120246","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","18976","22","1","174","470","Юго-Западный административный округ","Ленинский проспект","131 к2","","","",""
"Москва","4504222397630173","4504235282571287","37.4800431646612","55.6454048826155","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","18975","22","1","174","470","Юго-Западный административный округ","Ленинский проспект","125 к1","","","",""
"Москва","4504222397630173","4504235282571300","37.4820232312105","55.6453373668427","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","18976","22","1","174","470","Юго-Западный административный округ","Ленинский проспект","125 к2","","","",""
"Москва","4504222397630173","4504235282571308","37.4848966723098","55.6449308472811","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","20333","16","4","255","689","Юго-Западный административный округ","Ленинский проспект","123 к3","","","",""
"Москва","4504222397630173","4504235282571313","37.486478246199","55.6450537891601","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","10201","16","2","127","343","Юго-Западный административный округ","Ленинский проспект","123 к4","","","",""
"Москва","4504222397630173","4504235282571323","37.4827070288047","55.6463758978881","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","60514","16","12","764","2063","Юго-Западный административный округ","Ленинский проспект","123 к1","","","",""
